DB;VDBC;;VDBC M1;;;;;;;;;;VDBC M2;;VDBC M3;;VDBC M4;;VDBC M5;
;;;1NN;;2NN;;3NN;;4NN;;5NN;;;;;;;;;
Abalone;MAUC;;;;;;;;;;;;;;;;;;;
;0.8178;0.0169;0.703;0.0213;0.7004;0.0193;0.6917;0.017;0.6921;0.013;0.6862;0.0202;0.7414;0.0173;0.8199;0.0109;0.8168;0.0104;0.817;0.0223
;Number of Prototypes;;;;;;;;;;;;;;;;;;;
;2911;7.7782;1982;3.0332;1700;27.5409;1601;33.9293;1574;38.5136;1501;28.3602;15420;28.7889;2922;19.7914;2237;7.3348;2822;16.1462
;;;;;;;;;;;;;;;;;;;;
Arrhythmia;MAUC;;;;;;;;;;;;;;;;;;;
;0.7765;0.0295;0.7781;0.0376;0.7744;0.0375;0.7584;0.0229;0.7553;0.0374;0.7684;0.0395;0.7616;0.0374;0.7859;0.0259;0.7592;0.0528;0.8006;0.0321
;Number of Prototypes;;;;;;;;;;;;;;;;;;;
;248;3.4205;183;5.8052;273;9.7826;287;6.0663;314;4.669;320;4.9295;561;28.5797;274;7.6485;207;4.9699;183;10.9909
;;;;;;;;;;;;;;;;;;;;
Balance Scale;MAUC;;;;;;;;;;;;;;;;;;;
;0.718;0.0461;0.6408;0.029;0.6391;0.0412;0.725;0.0379;0.7142;0.0346;0.7394;0.0224;0.6899;0.0265;0.7013;0.0174;0.6982;0.0072;0.7032;0.0515
;Number of Prototypes;;;;;;;;;;;;;;;;;;;
;254;2.0736;431;3.3615;283;14.3248;316;9.1269;337;10.1833;363;18.5742;546;21.5917;422;9.0995;234;5.2631;129;7.5631
;;;;;;;;;;;;;;;;;;;;
Car Eval.;MAUC;;;;;;;;;;;;;;;;;;;
;0.8763;0.0438;0.6962;0.0278;0.8215;0.0084;0.8925;0.017;0.884;0.0395;0.874;0.0218;0.7345;0.0256;0.8334;0.0399;0.8634;0.0375;0.8883;0.0367
;Number of Prototypes;;;;;;;;;;;;;;;;;;;
;541;8.4439;1230;3.7815;759;26.1285;818;16.8731;957;14.3073;1016;20.4768;7949;110.138;1277;14.8257;486;17.0939;119;30.5663
;;;;;;;;;;;;;;;;;;;;
Contraceptive;MAUC;;;;;;;;;;;;;;;;;;;
;0.5733;0.0168;0.5985;0.0218;0.5677;0.0201;0.5666;0.0032;0.594;0.0369;0.5808;0.0358;0.5171;0.0036;0.5741;0.0207;0.5984;0.0361;0.5824;0.0294
;Number of Prototypes;;;;;;;;;;;;;;;;;;;
;795;6.229;666;17.3695;857;17.4126;983;8.4143;1040;10.7703;1094;10.8305;15781;284.971;1121;11.5845;668;17.0968;774;11.1669
;;;;;;;;;;;;;;;;;;;;
Dermatology;MAUC;;;;;;;;;;;;;;;;;;;
;0.9204;0.0221;0.631;0.0294;0.6843;0.0308;0.7671;0.0393;0.8247;0.0523;0.8587;0.0601;0.8525;0.0571;0.9025;0.0502;0.9111;0.0216;0.8687;0.0571
;Number of Prototypes;;;;;;;;;;;;;;;;;;;
;156;3.7014;147;1.9494;161;10.8028;190;5.02;204;19.1703;218;12.6174;1278;340.549;197;3.8341;128;3.2094;62;5.2631
;;;;;;;;;;;;;;;;;;;;
Ecoli;MAUC;;;;;;;;;;;;;;;;;;;
;0.8783;0.0312;0.8197;0.05;0.8528;0.0439;0.9017;0.0315;0.9071;0.0379;0.8966;0.0266;0.8836;0.0375;0.8867;0.0265;0.8833;0.0469;0.8453;0.069
;Number of Prototypes;;;;;;;;;;;;;;;;;;;
;181;5.4589;164;2.1679;189;9.3113;190;3.1145;206;10.6911;207;4.9699;507;5.3572;209;4.3359;137;4.0866;67;7.9498
;;;;;;;;;;;;;;;;;;;;
Gene;MAUC;;;;;;;;;;;;;;;;;;;
;0.6972;0.0163;0.5328;0.0139;0.5755;0.0267;0.6154;0.0206;0.6354;0.0177;0.662;0.0202;;;0.6777;0.0166;0.6944;0.0194;0.6529;0.025
;Number of Prototypes;;;;;;;;;;;;;;;;;;;
;1401;18.3112;797;19.3598;1574;19.321;1983;14.519;2194;70.152;2315;58.4423;;;2256;24.2012;1245;32.9348;1186;24.025
;;;;;;;;;;;;;;;;;;;;
Glass;MAUC;;;;;;;;;;;;;;;;;;;
;0.8677;0.031;0.7104;0.0402;0.8819;0.0319;0.891;0.046;0.8656;0.03;0.8939;0.0271;0.8563;0.0273;0.8674;0.0669;0.889;0.0147;0.8419;0.0419
;Number of Prototypes;;;;;;;;;;;;;;;;;;;
;115;2.881;102;2.4083;115;6.4576;130;5.2154;136;5.244;139;4.9699;385;10.139;163;3.6742;93;5.0299;65;4.219
;;;;;;;;;;;;;;;;;;;;
Hayes;MAUC;;;;;;;;;;;;;;;;;;;
;0.7305;0.0829;0.5545;0.0226;0.5963;0.049;0.6676;0.1396;0.7425;0.119;0.7563;0.0414;0.6855;0.0456;0.7528;0.0633;0.8074;0.0594;0.7239;0.016
;Number of Prototypes;;;;;;;;;;;;;;;;;;;
;54;2.2804;45;3.3615;71;3.5637;88;7.0922;110;8.7636;121;5.9582;194;5.6391;54;22.2194;52;1.8708;68;7.1903
;;;;;;;;;;;;;;;;;;;;
Horse;MAUC;;;;;;;;;;;;;;;;;;;
;0.6644;0.0196;0.5367;0.0235;0.524;0.0121;0.5402;0.018;0.5206;0.0098;0.5351;0.0167;0.5972;0.0286;0.6612;0.0508;0.68;0.0083;0.6478;0.0611
;Number of Prototypes;;;;;;;;;;;;;;;;;;;
;200;1.3038;169;1.6733;147;10.8259;155;10.6395;167;4.3243;155;11.3446;2334;30.3859;212;24.1806;159;3.5637;123;4.6904
;;;;;;;;;;;;;;;;;;;;
Nursery;MAUC;;;;;;;;;;;;;;;;;;;
;0.8333;0.0292;0.6616;0.0291;0.753;0.0396;0.7974;0.016;0.8119;0.008;0.8102;0.0094;0.8293;0.0222;0.816;0.0124;0.8362;0.0342;0.8476;0.0345
;Number of Prototypes;;;;;;;;;;;;;;;;;;;
;3101;29.7035;9575;6.7602;5733;23.1776;5834;65.1291;6324;25.4657;6850;87.4157;9338;121.41;5677;24.4888;2964;28.7889;688;42.4064
;;;;;;;;;;;;;;;;;;;;
Page Blocks;MAUC;;;;;;;;;;;;;;;;;;;
